Sl,Code,Prof Name,Prof,Co-supervisor,Topic / Title of Seminar-cum-BTP,Domain / Area,No. of Students,Student Type,"Brief Description (For no description, contact the professor)"
15,BM4,Bivas Mitra,BM,NG,Emotion detection using smart devices,Socio-Mobile system development ,1,Any,"Automatic human emotion detection has opened new possibilities and paved way for smart applications. It can help in different areas ranging from automatic stress detection to sharing emotion states automatically over OSN like Facebook. But identifying different emotion states accurately with minimal user intervention is a challenge, which can be alleviated by monitoring user's smart devices (smartphone, smart watch, wrist bands etc.) usage details. For example, these explorations may reveal that when a user feels happy, she calls some group of people or uses specific types of applications.  The major objective of this project is to identify such cues from smart device (smartphones, wearable sensors) usage patterns and build a machine learning based emotion detection model. The model is planned to be supervised, so it will also employ a sophisticated ground truth collection mechanism by opportunistically asking user to label her current emotion state. "
16,BM5,Bivas Mitra,BM,NG,"
Analyzing field Migration of Scientific Researchers",Social Network,1,Any,"The popularity of research-fields rapidly changes over time and many new fields become popular every year. For most of the researchers it is a very common practice to migrate from one domain of research to another. The objective of this project is to quantify the migrating nature of different researchers in a large scale bibliography dataset and identify the factors driving the migration decisions. Leveraging on the insights, we want to develop a field migration recommendation model for career success of a researcher."
17,BM6,Bivas Mitra,BM,,"
Location recommendation to establish Popular Businesses",Location based Networks ,1,Any,"Recent advances in the field of smartphone and mobile computing have led to the emergence and growth in popularity of Location based social networks (LBSNs) like Foursquare and Yelp. LBSN allows customers to check-in to businesses they visit and share their experiences through user generated textual content such as tips and reviews. In this project, we leverage on the large scale Yelp dataset and develop a framework for business owners to identify locations in a city for the establishment of the popular businesses.  We investigate various social and geographical factors that play an important role in influencing clients to visit a (popular) business unit. Moreover, we need to study the role of tips and reviews posted online which play a major role in spreading positive sentiment and attracting clients to a specific business location. "
18,BM7,Bivas Mitra,BM,SC,Social-IoT based human activity recognition ,"Ubiquitous system, Internet of Things",1,Any,"The emergence of smartphones and wearable devices has provided an opportunity for human activity recognition (say sleeping, walking, running, in meeting, at office etc). In this project, we focus on the major challenges for providing practical activity recognition through social IoT and crowdsensing. Classification must be performed accurately, handling both easy and difficult to classify activities, environmental changes, and noisy data. In this project, we investigate an important, but currently neglected property of human behavior to improve the existing models of activity recognition. Within large populations, communities of socially connected individuals (IoT) often have correlated behavioral patterns. Such observations present a significant opportunity to improve the recognition of activities, as the inferences about one individual can be leveraged to improve the inferences made about others with whom they are socially connected. "
19,BM8,Bivas Mitra,BM,,Role of mentions on tweet virality,"Social Networks, Application development",1,Any,"In Twitter, propagation of a tweet or hashtag from one user to another occurs mainly via two activities: “retweeting” and “mentioning” (tagging with ""@""). In case of retweet, information is simply relayed to all the followers of the retweeting user. However, mention utility allows to spread an information far beyond the neighborhood and improves its visibility by making it available to the appropriate set of users.  In this project, we aim to investigate the impact of mentioning on tweet virality. We want to model tweet propagation dynamics and develop a real time mention recommendation system for Twitter.  The objective of the system is to recommend a small list of candidates to mention who can maximize the spread of the tweet-content."
20,BM9,Bivas Mitra,BM,,Success of Meetup groups,"Deep learning, Data Mining",1,Any,"Event based online social services (EBSN), such as Meetup and Plancast, have experienced huge popularity and rapid growth in recent years. In EBSN, a group of people organize different types of events such as traveling, technical talks, eating at restaurants etc. The success of a Meetup group can be perceived from the different perspectives – organizing big event, having thematically consistent attendees, growing group etc.  In this project, we aim to leverage on deep learning and measure the success of Meetup groups. The objective is to develop a prediction cum recommendation system which can predict the success of a Meetup group and can provide context driven recommendations to the event host & group coordinator to make the Meetup group/event successful. "
21,CM1,C Mandal,CM,,Testing of digital circuits,Logic design,1,Any,
22,CM2,C Mandal,CM,,Matroids,Algorithms,1,Any,
23,DM1,Debdeep Mukhopadhyay,DM,,Fault Analysis of Authenticated Encryptions,Crypto,2,Any,
24,DM2,Debdeep Mukhopadhyay,DM,,Power based side channel analysis ,Crypto,1,Any,
25,DRC1,Dipanwita Roy Chowdhury,DRC,,Attacks/Cryptanalysis of Round-Reduced AES    ,Cryptography,1,Any,"The block cipher AES (Advanced Encryption Standard) is a worldwide standard and one of the most popular cryptographic primitives. AES is a 128-bit block cipher with a variable key length (128, 192, and 256-bit keys are supported). Designed in 1997, AES has survived numerous cryptanalytic efforts. Though many papers have been published on the cryptanalysis of AES, the fastest single-key attacks on round-reduced AES variants so far are only slightly more powerful than those proposed 15 years ago. For all versions of AES, the number of cryptanalyzed rounds did not increase, till date it is achieved 7 rounds for AES-128 and 8 rounds for both AES-192 and AES-256. However, a decrease in the computational complexity of the key recovery was achieved, though it is very far from practical. As for now, there are no known practical attacks that work on full-round AES. 
In this scenario, this project aims to develop new cryptanalysis techniques and as well as to implement practical attacks on round-reduced AES."
26,DRC2,Dipanwita Roy Chowdhury,DRC,,"Attacks on Authenticated Encryption Schemes, the Phase III Candidates of Caesar Competition",Cryptography,1,Any,"Authenticated Encryption provides encryption and authentication simultaneously. The potentially relevant cryptanalysis techniques for AES-based authenticated encryption (AE) are differential and linear cryptanalysis, since these techniques are general, powerful, and prevalent. Resistance against these techniques should result in resistance against many other less general techniques. A fundamental requirement of symmetric-key cryptosystem design is to prove resistance to differential cryptanalysis.   There are a number of variants of differential cryptanalysis like Truncated and Higher-Order Differentials, XL and XSL Attacks, Algebraic attacks, which have been successfully exploited on AES-based AE schemes that were fully or partially broken. 
This project focuses on analyzing AE schemes by exploiting some variants of the Differential Attack. We also aim to develop a generalized scheme using the same techniques for practically attacking AES based AE schemes or the winner of Caesar Competition."
27,DRC3,Dipanwita Roy Chowdhury,DRC,,Design and Implementation of Primitives for Post Quantum Cryptographic Algorithms,Cryptography,1,Any,"Here's the one-minute introduction: ""Imagine that it's fifteen years from now. Somebody announces that he's built a large quantum computer. RSA is dead. DSA is dead. Elliptic curves, hyperelliptic curves, class groups, whatever, dead, dead, dead. Well, we still have secret-key cryptography, and we still have some public-key systems. There's hash trees. There's NTRU. There's McEliece. There's multivariate-quadratic systems. But we need more experience with these. We need algorithms. We need protocols. We need software, working software for these systems. We need speedups. We need to know what kind of key sizes to use. So come to PQCrypto and figure these things out before somebody builds a quantum computer.""  We need next generation of cryptographic algorithms, the systems that resist quantum-computer attacks: in particular, post-quantum public-key encryption systems and post-quantum public-key signature systems. Solutions can be of hash-based cryptography, code-based cryptography, lattice-based cryptography, and multivariate cryptography. Mathematical foundations as well as implementation issues have to be explored. This project aims to design new primitives for the field of post-quantum cryptography. The project also aims to provide efficient implementation (software or hardware or both) of these new primitives."
28,DRC4,Dipanwita Roy Chowdhury,DRC,,Privacy and Security of Remote Monitored Devices,Privacy and Security,1,Any,"The need for security and privacy of remote monitored devices has received increasing attention in both the media and the academic community over the last few years. A few research works have been introduced for a class of wireless threats against some commercial devices, followed by numerous papers researching techniques to improve the security and privacy of of these devices. For example, the existence of malware on networked devices can result in unreliable data or actuation, impacting both the integrity and availability of the systems in question. Any private data on the system may be exposed, leading to a breach of confidentiality. 
This project aims to assess the security and privacy properties of some specific devices that are remote monitored and to explore the attacks on privacy, integrity, and availability. In addition, in each case where we identify a vulnerability, we propose a solution or technical direction to prevent it."
29,DSM1,Debasis Samanta,DSM,,Brain computing interface for text entry system,Computational intelligence,2,Any,"Hands free and touch free interaction is emerging as the fourth-generation human computer interaction (HCI). Such interaction is realizable with the  adaption of brain computing interface (BCI). Aim of this project would be to investigate 1) the feature extraction method from brain data, 2) apply machine learning/deep learning approach to build prediction system to translate user's intention and 3) interface enabling the text entry augmented with online BCI data."
30,JM1,Jayanta Mukhopadhyay,JM,,Image Processing & Computer Vision,Image Processing & Computer Vision,1,Any,
31,JM2,Jayanta Mukhopadhyay,JM,,Computer Vision & Robotics,Computer Vision & Robotics,1,Any,
32,JM3,Jayanta Mukhopadhyay,JM,,Bioinformatics / Medical Informatics,Bioinformatics / Medical Informatics,1,Any,
33,JM4,Jayanta Mukhopadhyay,JM,,Bioinformatics / Medical Informatics,Computer Vision and Robotics,1,Any,
34,KSR1,K. Sreenivasa Rao,KSR,,"Big-Data framework for audio data analysis, representation and retrieval","Speech/Audio processing, Graph clustering, Documen t summarization",1,Any,The objective is to visualization of various domains at broad and finer levels present in the given audio data. This task has to be carried out in un-supervised framework.  
35,KSR2,K. Sreenivasa Rao,KSR,,Evaluation of learner's SARGAM practice,Music signal processing,2,Any,The objective is to visualization of various domains at broad and finer levels present in the given audio data. This task has to be carried out in un-supervised framework.  
36,NG1,Niloy Ganguly,NG,,Detection of an evolving story in Twitter and Understanding the diffusion process of it,"Social Computing, Machine Learning",1,Any,"With the advancement of online social media, people keep on posting tweets on different topics very frequently. It is a very useful resource to extract information from the conversation of a group of people. Detection of a topic/story(which could be a collection of tweets which may or may not contain a hashtag) online  and understanding how they are evolving or dying over time is a very interesting study.  It is very often observed that many people are talking about some important event without using any hashtag initially. With the popularity of the story, some hashtags might get introduced sometimes. Apart from bundling tweets to detect a story, predicting how this cluster of tweets will gain popularity in future is extremely useful in many aspects. For example, on an event like BigBillionDay on an e-commerce, people start tweeting if they find any technical difficulties on buying any product. If this story/topic can be detected beforehand and the popularity could be predicted then this issues could be addressed immediately."
37,NG2,Niloy Ganguly,NG,,Building Fairness-Aware Machine Learning Systems,"Machine Learning, Social Computing",1,Any,"Automated data-driven decision systems? ?such as classification, item recommendations and search systems? ?are ubiquitous across a wide variety of online services, from online social networking and e-commerce to e-government. These systems rely on complex learning methods and vast amounts of data to optimize the service functionality, satisfaction of the end user and profitability. However, there is a growing concern that these automated decisions can lead to discrimination, even in the absence of intent.
In this work, we want to explore the issue of fairness in machine learning systems such as content recommendation and search rankings, and propose mechanisms to ensure fairness in a principled manner."
38,NG3,Niloy Ganguly,NG,AM,Improving network coverage through proliferated random walk,"Complex Networks, Social Computing",1,Any,"Information dissemination and search are among the most frequently performed operations in large-scale distributed systems such as peer-to-peer (P2P) networks, delay tolerant networks, sensor networks, ad hoc networks etc. These operations are initiated from a single node and the underlying algorithms, based on appropriately transported messages (walkers), try to maximize the number of distinctly visited sites, within a service time T and consuming B amount of bandwidth, where bandwidth refers to the total number of messages passed in the system. Variants of either flooding or random walk form the basis of such information dissemination algorithms. While flooding achieves maximum coverage in minimum time bandwidth is very high. Similarly for random walk the wastage is minimum and also the network coverage. We plan to propose a spreading algorithm which achieves higher coverage and at the same time consumes lesser bandwidth. Finally we plan to extend our approach to temporal networks whereby the underlying network changes with time."
39,NG4,Niloy Ganguly,NG,SC,Traffic analysis for source identification and service differentiation in IoT-based networks,"Computer Networks, Machine Learning, IOT",1,Any,"Network traffic analysis involves studying various characteristics of networks packets, such as packet-level features (e.g., packet-size, inter-arrival time, etc.), and burst-level characteristics (e.g., burst-size, inter-burst arrival time, etc.). Traffic originating from various categories of applications often exhibit distinct characteristics, which can aid in identification of the traffic source, even when the packets are encrypted. Accurate network traffic identification would assist network operations and management teams effectively on many different network tasks such as managing network bandwidth and ensuring security. The demand for such network traffic management methods has grown in leaps and bounds especially with the evolution of IoT-based networks, which support a wide range of applications such as streaming, gaming, messaging, social networking, etc."
40,NG5,Niloy Ganguly,NG,SB,City Traffic Notification System Design and Validation from Online Social Network Data,"Traffic Engineering, Online Social Networks, Machine Learning",1,Any,"With the advent of Smart City Concept, it’s essential to build and maintain an intelligent transportation system that will help people for making a better travel plan by providing city traffic behaviour profile. However to build such system we need a lot of data for wide area coverage. But this incurs heavy maintenance and infrastructure cost. On the other hand nowadays people, government agency etc post/share city traffic information in Online Social Network (OSN) ranging from the live tweet about road an accident to early government notification about road blockage, important city event that can hamper city traffic in the certain region. Therefore these users in these OSN sites act as a huge pool of human sensors. They actively sense and update about different city event in various OSN channel. This may help other people if this useful information can be provided to them in a structured and organised fashion. 
In this work, our aim is to analyse such social network data to infer useful insight about the city traffic and build an early notification system that will help city people.  For validation of our work we will use two different data source:  1. City Traffic/Event information posted on twitter for NYC 2. Real word NYC taxi trip data  for understanding the city traffic. We will use these two data source for the year 2015 and region New York.  The second data source will help us in validating if an information posted in OSN has truly affected the city traffic life and thus will measure the accuracy of our system."
41,NG6,Niloy Ganguly,NG,BM,Recommender app to effectively utilize time while commuting,"Mobile System,  Recommendation Algorithms",1,Any,"In this project, we investigate how effectively time can be used while commuting based on user context. We use different modes of transport in our daily lives and often face different issues related with traffic, poor road condition, overcrowding etc. These situations generate various negative emotions among us and create different risks for us. For example, a highly crowded route often generates anger and frustration and can make the user impatient. On the contrary, soetimes we spend reasonable amount of time while having a smooth comfortable ride. This can effectivey be used in performing some todos to manage time better. In this project, we investigate both of these extremes and develop an Android based application, which (a) reads data from different onboard sensors present in smart devices (b) determines current mode of transport (c) senses traffic conditions (e.g. congested), road condition (e.g. jerky, too many bumps), bus type (ac or non-ac), user context (e.g. sitting or standing, probability to get a seat) automatically (d) determine various user's activities to infer user's emotion state. Once the emotion state is identified, the app recommends to utilize the time in more effective way (e.g recommend listening music to get rid of negative emotions, remind in doing various todos, when having a smooth comfortable ride)."
42,PB1,Partha Bhowmick,PB,,Discrete geometry & algorithms,Discrete geometry & algorithms,1,Any,
43,PB2,Partha Bhowmick,PB,,Voxelization for Rendering,"Computer Graphics, Algorithms, Geometry",1,Any,
44,PB3,Partha Bhowmick,PB,,Graph-based analysis of geometric objects,Data structure & algorithms,1,Any,
45,PB4,Partha Bhowmick,PB,,Algorithmic art,"Algorithms, fine arts, image processing",1,Any,
46,PDG1,Pallab Dasgupta,PDG,,"Formal Methods for Cyber-Physical Systems [Avionic, Railway, or Power Systems]",Formal Methods,2,CGPA>8.5,
47,PG1,Pawan Goyal,PG,"Prof. Saurabh Bagchi, Purdue University",Towards automated fact checking of pronouncements and conversations,"NLP, Text Mining",1,Any,"Fact checking corresponds to examining the truthfulness of statements made by various kinds of people in various situations. Pronouncements made by politicians are often fact checked, so are the comments made in response to a news article. We are still far from automating this process. This projects aims to take a step in this direction by identifying some primary sources of information for the block of statements, which a human will then reference in an effort to determine the truthfulness of the statements. We will evaluate the output of this project by considering pronouncements made by politicians and conversation on social media platforms and use the metric of how much it reduces the time to fact check statements. For evaluation, fact checkers will be employed through the Amazon Mechanical Turk."
48,PG2,Pawan Goyal,PG,,A character embedding model for compositionality in compound words,"NLP, word embeddings and semantics",1,Any,"A compound word is a means of vocabulary expansion in languages where multiple lexemes are joined together to form a new word. Words like boathouse and houseboat are compound words formed from the words house and boat. It needs to be investigated the effectiveness of the state of the art models of character embeddings and character n-grams like ‘charagrams’, ‘fasttext’ and ‘adaptor-grammars’ in effectively capturing the compositionally of compound words from the character embeddings obtained from its component words. The work, following the line of developing compositional distributional semantic models, in essence looks for elegant models that can construct the compound words with suitable vectorial or tensor operations with the component words and the component relations treated as operands and operators. We will be experimenting the models on tasks such as machine translation, sentence similarity and entailment in corpora rich with compounds."
49,PG3,Pawan Goyal,PG,"Dr. Sayan Pathak, MSR Redmond",Deep Learning for product knowledge graph construction from user reviews,"NLP, Deep Learning",1,Any,"Product knowledge graph can be thought of as collection of attributes of a product as well as relation between two products. Once this knowledge graph is constructed, it can be utilised to enhance product retrieval as well as customer suggestion. This project aims at constructing this knowledge graph automatically by mining the information available in product descriptions [to incorporate sellers’ viewpoints] and user reviews [to incorporate customers’ viewpoints]. Deep Learning approaches will be applied over the review text to mine this information. We have already made progress in annotating entities using a variety of well-established methods as well as recapitulated some of latest works in the field. We have a scraping engine that is collecting the much needed larger corpus to facilitate deep learning based approaches."
50,PG4,Pawan Goyal,PG,AM,Automated Enrichment of Wikipedia Reference Section,NLP,1,Any,"This project will focus on developing an application which will recommend proper scientific articles to be added to the reference section of an existing wikipedia page pertaining to a specific scientific concept. Network structure of both Wikipedia and Scientific articles, along with word and network embedding approaches will be utilized for this application."
51,PM1,Pabitra Mitra,PM,,Regularization Algorithms for Deep Neural Networks,Machine Learning,1,Any,
52,PPD1,Partha Pratim Das,PPD,,Aspect Oriented Programming in C++ using Dynamic Instrumentation,"Compilers, Software Engineering",1,Any,"Aspect Oriented Programming (AOP) is an effective means of dynamic code insertion that is useful in various test and validation systems. This has been available as AspectJ for Java and also in hardware-software co-design languages like E. However, attempts to implement AOP in C++ (AspectC++) has not proved effective because of the need of independent compilers. 
In this project we intend to use the dynamic binary instrumentation framework of PIN to support aspects for C++. This would be able to use standard C++ compiler like g++ and allow insertions of aspects at the run-time through PIN. Further, the support will be integrated with common IDEs like Eclipse to provide an end-to-end solution to the users. The aspect-extended framework will be tested for various test, debugging and validation scenarios."
53,PPD2,Partha Pratim Das,PPD,,Estimation of Program Comprehension from Code Reading Patterns using Eye-Gaze Tracker,"Machine Learning, Software Engineering, Compilers",1,Any,"Quantitative Estimation of Developers' Productivity and of Code Quality are difficult problems from Software Engineering perspectives. Often these are estimated in an adhoc manner through static program analysis tools that can raise pointers about program complexity but can hardly model the developers' capabilities.
In this project, we intend to first estimate the Program Comprehension for the developers' and then use the same for the estimation of productivity and quality. For estimation of Program Comprehension we track the Code Reading Patterns by a developer using an Eye-Gaze Tracker sensor. Based on the sequence of gaze patterns and the static analysis of the source we can map the order as well as effort spent by the developers in understanding an unknown code. Using these patterns and the hierarchical representation of the code we intend to build a deep learning model for productivity and quality estimates.
The project would be built up on several existing infrastructure of EGT and hierarchical program representation and primarily focus on learning and validating ML models from human experiments.
The target language would be C++."
54,PPD3,Partha Pratim Das,PPD,,Deep Learning Models for Analysis of Choreographic Sequences,"Machine Learning, Computer Vision, Human Activity Tracking",2,Any,"Any choreographic sequence is a complex multimedia data that carry intertwined and synchronised information of auditory, visual and inertial nature. There are several wearable and non-wearable sensors to capture such multi-modal data. Further, various signal and image processing algorithms can help in the pre-processing and low-level analyses of such data. However, the extraction of the inherent ontological structure, validation of pre-designed choreographic sequences, and inferring the semantic expressions of these complex human activities prove to be challenging with common algorithmic techniques or reasoning frameworks. Thus the classical pattern recognition and computer vision techniques fail.
In this project, we intend to use the framework of deep learning to develop an approach for analysing such multi-modal multimedia choreography data of classical Indian origin to establish new horizons for tracking complex human activities. The project will build up on a rich set of existing recorded data and low-level processing stages to focus primarily on the high-level learning of choreography models and validation against pre-existing ontology."
55,PPD4,Partha Pratim Das,PPD,JM,Infrastructure and Environment for Multi-modal Telepresence Capture and Synchronization,"Image and Signal Processing, Machine Learning, Tele-Presence, Robotics",2,Any,"Tele-presence systems have been around for a while. These are either for purposes for meetings and video conferencing that can be afforded by mid to high end corporate only. Or they are low-end solutions like Skype that have limited capability for immersive collaboration and communication. These are constrained for multi-modal inputs. Hence, in spite of the potentials, these cannot be used for instructional applications in education or entertainment.
In this project we aim at exploring current options in multi-modal tele-presence capture, synchronisation and rendition and building a solution for a tele-presence infrastructure that can be effectively engaged to develop and deliver instructional applications.  We plan to develop a Telepresence Recording Studio for various human activities (physical, visual, auditory, vibrational, optical, and the like) with high precision and proper synchronisation between multiple sensors. To setup the studio different groups of sensors will be experimented with so that various combinations of cost, effectiveness and multi-modality can be explored. Finally, simple demonstrative solutions will be built on them to assess the effectiveness of the Studio."
56,PrM1,Pralay Mitra,PrM,,Implementation of 3D Voronoi Diagram for a Cell,"Bioinformatics, geometric algorithms",2,Any,"For a given region and for a given set of points within that region, generate the 3D Voronoi Diagram. Design a suitable method for calculating the volume of each cell of the resultant Voronoi Diagram (summing up the volumes of the irregular tetrahedra formed using Delaunay Triangulation)."
57,PrM2,Pralay Mitra,PrM,,Cellular level clustering of protein molecules,Bioinformatics,2,Any,"A cell contains various biomolecules. Proteins play the most important role in the cell. So only the proteins are considered for various bioinformatics related studies. Now using a graph-theoretic clustering approach, clusters of closely related proteins are obtained. Some clusters are comparatively much bigger than the rest. Propose a method for dividing the big clusters. The Voronoi Diagram needs to be generated for the whole cell using the clusters as points. All these points will not be uniform in the Voronoi Diagram since the clusters vary in sizes. Propose a proper technique for representing the bigger and the smaller clusters considering the volume of the clusters."
58,PrM3,Pralay Mitra,PrM,,A replica exchange monte carlo implementation of protein design algorithm,Bioinformatics,2,Any,Computational protein design algorithms are available. You have to make an efficient parallel implementation of that.
59,PrM4,Pralay Mitra,PrM,,Computational Modelling of the Unfolded  State of Proteins,Bioinformatics,2,Any,
60,RgM1,Rogers Mathew,RgM,,Designing approximation algorithms for the maximum weighted budgeted independent set problem,"Graph Algorithms, Approximation algorithms",1,Any,"It's a research problem that involves learning more about linear programming, semi-definite programming etc. "
61,RgM2,Rogers Mathew,RgM,AM,On the convergence of the graph parameter 'permanence',"Graph theory, complex networks",1,Any,"To quantify the resilience of a community structure under perturbation, a new vertex based metric called 'permanence' was introduced by Chakraborty et al. The central idea of permanence is based on the observation that the strength of membership of a vertex to a community depends upon the following two factors: (i) the distribution of external connectivity of the vertex to individual communities and not the total external connectivity, and (ii) the strength of its internal connectivity and not just the total internal edges. 
We study some theoretical problems related to this new parameter."
62,RgM3,Rogers Mathew,RgM,,Developing an android app for drawing and visualizing graphs with added features to highlight its properties. ,"Android programming, graph theory, implementing algorithms. ",2,Any,This is an enhancement project. There is already an app with minimal features. 
63,RM1,Rajib Mall,RM,,A novel Unit level Testability Metric for Object-oriented Programs,"Software Engineering, Program testimg",1,Any,
64,RM2,Rajib Mall,RM,,A Novel Integration testability measure for object-oriented programs,"Program testing, Software Engineering",1,Any,
65,RSC1,Rajat Subhra Chakraborty,RSC,,GPU based Paralleized Implementation of Image Processing Algorithm,"Image processing, parallel programming",1,Any,
66,RSC2,Rajat Subhra Chakraborty,RSC,,FPGA Design of Network Packet Analyzer,VLSI,1,Any,
